t,TPU,ret,ret_sq,ret_sq_lag1
1,1.849446735367297,4.658211453209064,21.698933942808097,0.19376367300869637
2,0.0,-0.16702668091917386,0.027897912138875516,21.698933942808097
3,0.0,-1.5071663810618259,2.2715505002030008,0.027897912138875516
4,0.0,0.3773498524032754,0.14239291110877372,2.2715505002030008
5,-0.43615841014013323,-1.4832964064798928,2.2001682294761635,0.14239291110877372
6,0.0,-0.25278008527287543,0.06389777151056218,2.2001682294761635
7,0.22813133169296837,-0.8216742700018643,0.6751486059830967,0.06389777151056218
8,0.0,-0.0025868296021106297,6.6916873903558386e-06,0.6751486059830967
9,0.0,0.41782737790009356,0.1745797177228676,6.6916873903558386e-06
10,0.0,-0.14879869912096233,0.022141052860090677,0.1745797177228676
11,-0.11273939700628981,0.6309204228528416,0.3980605799728084,0.022141052860090677
12,0.18614504254541367,0.5778886245434522,0.3339552623767231,0.3980605799728084
13,0.5804996281042555,-0.8833659938448147,0.7803354790814373,0.3339552623767231
14,0.24830344561228207,0.7310672624423172,0.534459342214904,0.7803354790814373
15,0.4106897611889768,1.7971976074080933,3.229919240073375,0.534459342214904
16,0.0,-1.1092607481748205,1.2304594074413624,3.229919240073375
17,0.0,0.7364983303789022,0.5424297906509106,1.2304594074413624
18,-0.7027481942326158,0.11767320735666958,0.013846983729605756,0.5424297906509106
19,0.0,-0.6168934978901902,0.3805575877391941,0.013846983729605756
20,0.0,0.25167948430452197,0.06334256281979012,0.3805575877391941
21,0.0,-0.04856327306187387,0.0023583914904821246,0.06334256281979012
22,0.0,0.22557839997675627,0.05088561453607343,0.0023583914904821246
23,-0.23965543083419497,-0.28043396264178955,0.07864320740297662,0.05088561453607343
24,0.042334461714795164,-1.6829777122392178,2.832413979893951,0.07864320740297662
25,0.0,-0.12310845647975831,0.015155692056828545,2.832413979893951
26,0.0,-0.07802590589567245,0.006088041990840332,0.015155692056828545
27,0.17658006558299794,0.018950407450774514,0.0003591179425503702,0.006088041990840332
28,0.0,-0.23305433422657001,0.054314322701789805,0.0003591179425503702
29,0.0,0.25993861831127263,0.06756808528957348,0.054314322701789805
30,0.0,0.41050252798868986,0.1685123254851051,0.06756808528957348
31,0.0,0.8307032705250782,0.6900679236610613,0.1685123254851051
32,0.0,0.49537394842214194,0.24539534877534294,0.6900679236610613
33,0.0,0.32809262425542346,0.10764477009081048,0.24539534877534294
34,-0.9847628457696629,1.6084307843017287,2.587049587889474,0.10764477009081048
35,0.0,0.6056391338471925,0.3667987604471775,2.587049587889474
36,-3.2589538032108387,-2.4231538445750767,5.871674554478974,0.3667987604471775
37,0.4041577068693854,1.1310347727486962,1.2792396571666949,5.871674554478974
38,0.0,-0.1891096391783822,0.03576245563017791,1.2792396571666949
39,0.0,-1.0211750236742632,1.0427984289761318,0.03576245563017791
40,0.0,-0.0281738016971142,0.000793763102068315,1.0427984289761318
41,0.17174579318798786,-0.364923263455438,0.13316898821096704,0.000793763102068315
